UNITID,INSTNM,CITY,STABBR,ZIP,INSTURL,MAIN,NUMBRANCH,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATVRMID,SATMTMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTCMMID,ACTENMID,ACTMTMID,SAT_AVG,CIP01BACHL,CIP03BACHL,CIP04BACHL,CIP05BACHL,CIP09BACHL,CIP10BACHL,CIP11BACHL,CIP12BACHL,CIP13BACHL,CIP14BACHL,CIP15BACHL,CIP16BACHL,CIP19BACHL,CIP22BACHL,CIP23BACHL,CIP24BACHL,CIP25BACHL,CIP26BACHL,CIP27BACHL,CIP29BACHL,CIP30BACHL,CIP31BACHL,CIP38BACHL,CIP39BACHL,CIP40BACHL,CIP41BACHL,CIP42BACHL,CIP43BACHL,CIP44BACHL,CIP45BACHL,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,CIP50BACHL,CIP51BACHL,CIP52BACHL,CIP54BACHL,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,AVGFACSAL,PFTFAC,UG25ABV,COMP_ORIG_YR2_RT,COMP_ORIG_YR3_RT,COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,COMP_ORIG_YR8_RT,OPEFLAG,ADMCON7,UGDS_MEN,UGDS_WOMEN,MD_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,COUNT_NWNE_1YR,COUNT_WNE_1YR,C150_4,COST_INSTATE_ONCAMPUS,COST_INSTATE_OFFCAMPUS,COST_OUTSTATE_ONCAMPUS,COST_OUTSTATE_OFFCAMPUS,FINAID1,FINAID2,FINAID3,FINAID4,FINAID5,CLIMATE_ZONE,GPA_BOTTOM_TEN_PERCENT
101116,South University-Montgomery,Montgomery,AL,36116,"www.southuniversity.edu/montgomery#location=Montgomery, AL",0,9,3,5,12,32.342684,-86.216488,20,7,6,0,0,0,0,0,0,0,0,0,NA,0.773238,462.74,565.5866667,458.8866667,545.66,515.8733333,501.5666667,17.38,22.22,15.89333333,22.40666667,16.02666667,20.77333333,20.23333333,19.26666667,19.08,1035.993333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,251,0.3108,0.6574,0.004,0.008,0.004,0.008,0,0,0.008,4826,0.1053,0.6375,0.150019135,0.199648316,0.195733333,0.155170891,0.100743855,1,2,0.1912,0.8088,26001,14273,40239,239,4070,0.1034,32195.05333,31674,32195.05333,31674,7874,7696.413333,7315.553333,4503.571111,4611.34,Cfa,2.509333333
101189,Faulkner University,Montgomery,AL,36109-3390,www.faulkner.edu/,1,1,2,5,12,32.384181,-86.21641,19,7,10,0,0,0,0,0,0,0,0,0,74,0.7833,500,590,500,570,545,535,18,23,17,23,16,22,21,20,19,1066,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,1,1,0,1,1,0,1,0,0,2,2,0,1,0,0,0,0,1,1,2,1,0,1928,0.4544,0.445,0.0275,0.0052,0.0047,0.0036,0.0239,0.0213,0.0145,6001,0.5053,0.4334,0.22234763,0.302083333,0.307692308,0.335533553,0.319472617,1,1,0.4123,0.5877,32902,19589,48437,38,643,0.3287,36335,37110,36335,37110,14962,14364,12898,13015,11058,Cfa,2.6
101365,Herzing University-Birmingham,Birmingham,AL,35209,https://www.herzing.edu/,0,9,2,5,21,33.468466,-86.832465,23,5,6,0,0,0,0,0,0,0,0,0,NA,0.7826,482.76,582.4333333,468.4733333,556.82,527.94,512.8866667,18.22,22.91333333,16.62666667,23,16.36,21.76,20.60666667,20,19.34666667,1062.066667,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,565,0.3168,0.6,0.0212,0.0035,0.0053,0.0053,0.0319,0,0.0159,6076,0.5862,0.7513,0.258715068,0.31058883,0.316458792,0.332623169,0.311285745,1,2,0.2124,0.7876,30259,17117,46166,136,2487,0.28,29780.68667,31679.39333,29780.68667,31679.39333,3143,9869,862,1864.146667,1912.94,Cfa,2.527333333
101435,Huntingdon College,Montgomery,AL,36106-2148,www.huntingdon.edu/,1,1,2,5,12,32.351034,-86.284366,22,8,7,0,0,0,0,0,0,0,0,0,71,0.5929,530,595,505,585,563,545,17,24,19,24,16,23,21,22,20,1076,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1007,0.6832,0.1897,0.0497,0.007,0.007,0,0.0427,0,0.0209,6678,0.464,0.1419,0.150837989,0.436746988,0.534743202,0.498694517,0.429799427,1,1,0.4876,0.5124,37025,23949,51436,12,327,0.4942,38685,36685,38685,36685,17448,17669,14217,12991,12726,Cfa,2.7
101453,Heritage Christian University,Florence,AL,35630-9977,www.hcu.edu/,1,1,2,5,13,34.856153,-87.663051,24,5,6,0,0,0,0,0,0,0,0,0,74,0.2353,456.3666667,565.8533333,442.7466667,537.62,509.7933333,490.04,1,21,1,20,2,16,11,11,9,998.7666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.8136,0.0508,0.0678,0.0169,0,0,0.0339,0.0169,0,4774,1,0.6102,0.211257792,0.301648408,0.347330056,0.392224135,0.37182883,1,1,0.9661,0.0339,32742,18181,50831,0,122.42,0.8,21463,29623,21463,29623,10705,10440.85333,8095.206667,7083.56,6392.213333,Cfa,2.598666667
101480,Jacksonville State University,Jacksonville,AL,36265,www.jsu.edu/,1,1,1,5,23,33.822938,-85.765321,18,13,13,0,0,0,0,0,0,0,0,0,NA,0.5479,480,590,450,570,535,510,18,24,17,25,16,23,21,21,20,1084,0,0,0,0,1,0,1,0,1,0,1,1,2,0,1,2,0,1,1,0,0,1,0,0,1,0,1,1,2,1,0,0,0,0,1,1,1,1,0,6743,0.6966,0.2047,0.0059,0.0068,0.0034,4.00E-04,0,0.0187,0.0635,7269,0.6903,0.1376,0.136741974,0.288755822,0.413108839,0.456186936,0.409399478,1,1,0.4053,0.5947,34081,21459,47626,43,1562,0.4133,21831,26444,31551,36164,6311,4666,2083,261,0,Cfa,2.8
101587,University of West Alabama,Livingston,AL,35470,www.uwa.edu/,1,1,1,5,43,32.588132,-88.186329,18,11,13,0,1,0,0,0,0,0,0,0,NA,0.3493,440,520,420,500,480,460,18,22,16,21,18,24,20,19,21,1041,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,2,1,0,2235,0.4528,0.4076,0.0157,0.0031,0.0049,4.00E-04,0.0228,0.0403,0.0523,6481,0.4659,0.2675,0.04368932,0.089376054,0.124324324,0.250386399,0.341623037,1,1,0.3946,0.6054,34478,22463,50124,6,189,0.3503,23205,22895,32305,31995,7403,6116,3709,6132,4958,Cfa,2.6
101675,Miles College,Fairfield,AL,35064-2621,www.miles.edu/,1,1,2,5,21,33.482442,-86.908751,22,11,11,1,0,0,0,0,0,0,0,0,55,0.579775333,445.1266667,531,430.1666667,521.0333333,492.08,474.76,16.44666667,21.06666667,14.63333333,20.86666667,15.52666667,19.43333333,19.27333333,17.82,18.19333333,988.9133333,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1452,0.0372,0.9311,0.0103,7.00E-04,7.00E-04,0,0.0165,0,0.0034,4903,0.6471,0.1298,0.063428249,0.12490996,0.05312085,0.202295552,0.152459016,1,1,0.5021,0.4979,25928,14765,37343,8,150,0.25,22894,26551,22894,26551,8450,8066,5936,7943,4488,Cfa,2.4
101693,University of Mobile,Mobile,AL,36613-2842,www.umobile.edu/,1,1,2,5,41,30.793247,-88.128934,22,13,11,0,0,0,0,0,0,0,0,0,75,0.4566,540,590,470,570,565,520,20,27,19,28,17,25,24,24,21,1166,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,2,0,1,1,0,1,1,2,1,0,0,2,0,0,1,0,0,0,0,1,1,2,1,0,1192,0.6753,0.1644,0.0126,0.0193,0.0193,0.0042,0.0252,0.0352,0.0445,5192,1,0.1023,0.126126126,0.316742081,0.390070922,0.319095477,0.341573034,1,1,0.3532,0.6468,33075,20839,48770,12,289,0.549,40110,39460,40110,39460,22841,22712,17450,14758,14747,Cfa,2.8
101709,University of Montevallo,Montevallo,AL,35115-6000,www.montevallo.edu/,1,1,1,5,21,33.10625,-86.865099,19,13,11,0,0,0,0,0,0,0,0,0,NA,0.532,520,620,510,620,570,565,20,25,20,27,17,24,23,24,21,1135,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,2200,0.6845,0.1627,0.0518,0.0086,0.0027,0.0018,0.0409,0.0295,0.0173,7756,0.7034,0.072,0.109259259,0.338596491,0.484652666,0.474242424,0.390328152,1,1,0.3473,0.6527,32169,20414,43004,28,554,0.5511,27718,27718,40738,40738,10844,9845,7684,4990,5446,Cfa,2.7
101879,University of North Alabama,Florence,AL,35632-0001,www.una.edu/,1,1,1,5,13,34.806738,-87.681361,18,13,13,0,0,0,0,0,0,0,0,0,NA,0.8878,520,610,495,570,565,533,20,26,20,27,17,24,23,24,21,1148,0,0,0,0,1,0,1,2,1,0,1,2,1,0,1,0,0,1,1,0,2,1,0,0,1,0,1,2,1,2,0,0,0,0,1,2,2,2,0,5513,0.7422,0.1324,0.0327,0.0078,0.006,7.00E-04,0.031,0.0414,0.0058,8336,1,0.1397,0.098540146,0.276297335,0.459230769,0.457777778,0.455994456,1,1,0.3873,0.6127,35791,22499,48479,45,1167,0.4858,22750,22750,32350,32350,8961,8099,5951,4631,3977,Cfa,2.7
101912,Oakwood University,Huntsville,AL,35896,https://www2.oakwood.edu/,1,1,2,5,12,34.756344,-86.652705,22,10,11,1,0,0,0,0,0,0,0,0,95,0.6473,450,578,403,530,514,467,16,23,15,23,15,21,20,19,18,1010,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,2,1,0,1442,0.0035,0.8044,0.0513,0.0035,0.0236,0,0,0.0742,0.0395,5218,0.7787,0.1102,0.038202247,0.210126582,0.288372093,0.238188976,0.223880597,1,1,0.4209,0.5791,28749,16734,45193,15,267,0.5096,37764,37764,37764,37764,13443,15813,11931,11819,10679,Cfa,2.6
102049,Samford University,Birmingham,AL,35229-2240,www.samford.edu/,1,1,2,5,21,33.464128,-86.791799,17,14,14,0,0,0,0,0,0,0,0,0,54,0.8331,550,640,520,610,595,565,23,29,23,32,21,27,26,28,24,1223,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,3585,0.8502,0.0667,0.0326,0.0103,0.002,3.00E-04,0.0232,0.0117,0.0031,9079,0.9826,0.0248,0.156057495,0.599552573,0.662995595,0.661572052,0.633707865,1,5,0.3336,0.6664,45778,29745,60756,20,611,0.7639,49634,50000,49634,50000,25910,24997,21122,15688,15148,Cfa,3
102058,Selma University,Selma,AL,36701,selmauniversity.edu/,1,1,2,5,32,32.420387,-87.032392,24,7,6,1,0,0,0,0,0,0,0,0,54,0.606794,437.4666667,532.9466667,427.5133333,519.8666667,485.5666667,472.02,16.11333333,21.02666667,14.24,21,15.37333333,19.24,18.68666667,17.90666667,17.49333333,985.9133333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,310,0.0161,0.9742,0.0097,0,0,0,0,0,0,2702,1,0.5613,0.165757482,0.165008931,0.185038823,0.060344828,0.065315315,5,1,0.4323,0.5677,18990,9640,30925,1,1489.406667,0.0179,15355.39333,9880,15355.39333,9880,3281,3970.126667,1961.966667,928.5066667,-1068.18,Cfa,2.518
102094,University of South Alabama,Mobile,AL,36688-0002,www.southalabama.edu/,1,1,1,5,12,30.696033,-88.178711,16,13,16,0,0,0,0,0,0,0,0,0,NA,0.7869,520,620,510,600,570,555,20,27,21,29,18,26,24,25,22,1166,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,9380,0.6109,0.2213,0.0413,0.0317,0.0066,0.0011,0.0392,0.021,0.027,7251,0.6219,0.1379,0.108767577,0.269931663,0.381877023,0.423347398,0.396954674,1,1,0.4029,0.5971,36829,23272,53393,79,2483,0.4629,22412,23790,30308,31686,9151,7713,4333,370,0,Cfa,2.8
102234,Spring Hill College,Mobile,AL,36608-1791,www.shc.edu/,1,1,2,5,12,30.694751,-88.138199,21,12,11,0,0,0,0,0,0,0,0,0,30,0.4978,510,610,515,590,560,553,20,25,20,27,18,25,23,24,22,1131,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1156,0.6791,0.141,0.0363,0.013,0.0026,0.0026,0.0285,0.045,0.0519,6627,0.696,0.0259,0.100839462,0.377258617,0.445448994,0.466456424,0.336870027,1,5,0.3763,0.6237,37808,25401,51582,0,292.3533333,0.5568,59062,62614,59062,62614,37363,34643,36011,31548,29568,Cfa,2.8
102270,Stillman College,Tuscaloosa,AL,35401,https://stillman.edu/,1,1,2,5,12,33.200006,-87.585278,21,15,8,1,0,0,0,0,0,0,0,0,66,0.3296,455.6133333,551.3066667,446.02,533.0666667,502.6133333,490.72,17.29333333,22.22666667,15.83333333,22.53333333,15.93333333,20.99333333,20.00666667,19.27333333,18.94,1022.86,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,2,1,0,830,0.0422,0.8578,0,0.0012,0.0024,0.0024,0,0,0.094,4845,0.7193,0.1452,0.074349442,0.095541401,0.19,0.298657718,0.24057971,1,2,0.4843,0.5157,27831,18643,39132,4,111,0.2716,28092,28092,28092,28092,7599,7594,5035,5555,1061,Cfa,2.5
102298,Talladega College,Talladega,AL,35160,www.talladega.edu/,1,1,2,5,32,33.433472,-86.112704,21,11,8,1,0,0,0,0,0,0,0,0,76,0.561435333,450.3933333,537.6933333,438.9666667,526.9,498.7066667,483.08,16.86666667,21.94666667,15.10666667,22.28,15.85333333,20.89333333,19.63333333,19.12666667,18.5,1013.053333,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2,2,1,1,0,0,0,0,1,0,2,1,0,1169,0.024,0.8837,0.0359,0,0.0017,0.0017,0.0214,0.0282,0.0034,5889,0.5059,0.1016,0.076923077,0.120915033,0.20754717,0.252650177,0.142857143,1,1,0.4636,0.5364,23545,13457,34688,5,133,0.3398,28388,22716,28388,22716,8195,7110,6879,4558,3815.206667,Cfa,2.5
102368,Troy University,Troy,AL,36082-0001,www.troy.edu/,1,4,1,5,33,31.800672,-85.957094,18,7,15,0,0,0,0,0,0,0,0,0,NA,0.8757,470,550,460,540,510,500,18,24,19,26,17,24,21,23,21,1079,0,1,0,0,1,0,2,0,1,0,1,2,0,0,2,0,0,1,1,0,2,2,0,0,1,0,2,2,2,2,0,0,0,0,1,2,2,2,0,12595,0.526,0.3086,0.0398,0.0076,0.0035,0.0011,0.0339,0.0471,0.0324,6657,0.4748,0.2847,0.083850932,0.177409262,0.214201183,0.292129032,0.264276474,1,1,0.3725,0.6275,32760,19341,47846,77,1334,0.4749,21778,24560,29578,32360,5483,3088,3264,3993,4604,Cfa,2.7
102377,Tuskegee University,Tuskegee,AL,36088-1920,www.tuskegee.edu/,1,1,2,5,32,32.4309,-85.708492,19,10,14,1,0,0,0,0,0,0,0,0,NA,0.5173,460,558,420,540,509,480,18,23,17,24,16,22,21,21,19,1029,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,2394,0.0042,0.8885,0.0121,0.0079,0.0038,0.005,0.0167,0,0.0618,7224,0.8736,0.033,0.123317993,0.263074485,0.415335463,0.523668639,0.490765172,1,1,0.3622,0.6378,35093,21399,55785,18,503,0.5186,40750,40961,40750,40961,4584,5556,4868,4612,5419.773333,Cfa,2.6
102395,United States Sports Academy,Daphne,AL,36526-7055,www.ussa.edu/,1,1,2,5,13,30.639329,-87.91163,32,5,6,0,0,0,0,0,0,0,0,0,NA,0.596208,489.76,593.2533333,485.9066667,573.26,542.6866667,529.58,18.85333333,24.06,18.24,24.14,17.16,23.61333333,21.69333333,21.57333333,20.54,1093.38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0.6161,0.1611,0.109,0.0095,0,0,0.0616,0.0142,0.0284,5450,0.44,0.7931,0.25315203,0.340544591,0.369018862,0.259259259,0.461538462,1,2,0.8104,0.1896,40709,28556,66449,1,31,0.392661333,29405.72667,31965.72667,29309.38,31869.38,9326.366667,8924.946667,6702.693333,4707.546667,3629.526667,Cfa,2.583333333
